Ground truth file: ./Vid_C_juice.avi
frame mean variance /Vid_CPF.txt
a 0.3977383476 0.0000000000 0.3977383476
0 1.0000000000 0.0000000000 1.0000000000
1 0.9742356078 0.0000000000 0.9742356078
2 0.8497163831 0.0000000000 0.8497163831
3 0.6062026691 0.0000000000 0.6062026691
4 0.8354211645 0.0000000000 0.8354211645
5 0.2945744541 0.0000000000 0.2945744541
6 0.0766538651 0.0000000000 0.0766538651
7 0.0338035458 0.0000000000 0.0338035458
8 0.0382545943 0.0000000000 0.0382545943
9 0.0674595255 0.0000000000 0.0674595255
10 0.0710407940 0.0000000000 0.0710407940
11 0.0699530737 0.0000000000 0.0699530737
12 0.0809711225 0.0000000000 0.0809711225
13 0.1127706078 0.0000000000 0.1127706078
14 0.0713878431 0.0000000000 0.0713878431
15 0.0761281342 0.0000000000 0.0761281342
16 0.0823649111 0.0000000000 0.0823649111
17 0.0131596024 0.0000000000 0.0131596024
18 0.1288904185 0.0000000000 0.1288904185
19 0.1370424112 0.0000000000 0.1370424112
20 0.2246525603 0.0000000000 0.2246525603
21 0.2483767743 0.0000000000 0.2483767743
22 0.1807982816 0.0000000000 0.1807982816
23 0.1488027403 0.0000000000 0.1488027403
24 0.1622335792 0.0000000000 0.1622335792
25 0.1712614592 0.0000000000 0.1712614592
26 0.1706065962 0.0000000000 0.1706065962
27 0.1479300550 0.0000000000 0.1479300550
28 0.1387691096 0.0000000000 0.1387691096
29 0.0467606833 0.0000000000 0.0467606833
30 0.0287099677 0.0000000000 0.0287099677
31 0.1202878077 0.0000000000 0.1202878077
32 0.1478664229 0.0000000000 0.1478664229
33 0.1219484608 0.0000000000 0.1219484608
34 0.0602623211 0.0000000000 0.0602623211
35 0.0893614375 0.0000000000 0.0893614375
36 0.0865825102 0.0000000000 0.0865825102
37 0.1122523766 0.0000000000 0.1122523766
38 0.1213466210 0.0000000000 0.1213466210
39 0.0930195356 0.0000000000 0.0930195356
40 0.1089238347 0.0000000000 0.1089238347
41 0.1121024602 0.0000000000 0.1121024602
42 0.0545885591 0.0000000000 0.0545885591
43 0.0155494963 0.0000000000 0.0155494963
44 0.1212950687 0.0000000000 0.1212950687
45 0.1217566196 0.0000000000 0.1217566196
46 0.2272500219 0.0000000000 0.2272500219
47 0.2849461437 0.0000000000 0.2849461437
48 0.3867713250 0.0000000000 0.3867713250
49 0.4517104145 0.0000000000 0.4517104145
50 0.3517270755 0.0000000000 0.3517270755
51 0.3651394014 0.0000000000 0.3651394014
52 0.3645366128 0.0000000000 0.3645366128
53 0.3674303743 0.0000000000 0.3674303743
54 0.3862203331 0.0000000000 0.3862203331
55 0.3577768323 0.0000000000 0.3577768323
56 0.3671055408 0.0000000000 0.3671055408
57 0.3427013417 0.0000000000 0.3427013417
58 0.3734320162 0.0000000000 0.3734320162
59 0.3852970671 0.0000000000 0.3852970671
60 0.4262649254 0.0000000000 0.4262649254
61 0.4345567377 0.0000000000 0.4345567377
62 0.4248144749 0.0000000000 0.4248144749
63 0.4557067495 0.0000000000 0.4557067495
64 0.3925017191 0.0000000000 0.3925017191
65 0.3954233567 0.0000000000 0.3954233567
66 0.4552003621 0.0000000000 0.4552003621
67 0.3988961801 0.0000000000 0.3988961801
68 0.3936243896 0.0000000000 0.3936243896
69 0.3893817341 0.0000000000 0.3893817341
70 0.4143178682 0.0000000000 0.4143178682
71 0.3979161980 0.0000000000 0.3979161980
72 0.4341777841 0.0000000000 0.4341777841
73 0.4531557508 0.0000000000 0.4531557508
74 0.4625558861 0.0000000000 0.4625558861
75 0.4119473140 0.0000000000 0.4119473140
76 0.3901932935 0.0000000000 0.3901932935
77 0.3918650982 0.0000000000 0.3918650982
78 0.3470891906 0.0000000000 0.3470891906
79 0.3477212698 0.0000000000 0.3477212698
80 0.3624384221 0.0000000000 0.3624384221
81 0.3822611241 0.0000000000 0.3822611241
82 0.3937362763 0.0000000000 0.3937362763
83 0.3870163957 0.0000000000 0.3870163957
84 0.4087916379 0.0000000000 0.4087916379
85 0.4241278260 0.0000000000 0.4241278260
86 0.3919158319 0.0000000000 0.3919158319
87 0.3640365033 0.0000000000 0.3640365033
88 0.4038336454 0.0000000000 0.4038336454
89 0.4715224812 0.0000000000 0.4715224812
90 0.4539685561 0.0000000000 0.4539685561
91 0.4805398460 0.0000000000 0.4805398460
92 0.4106511668 0.0000000000 0.4106511668
93 0.4097258517 0.0000000000 0.4097258517
94 0.4032418098 0.0000000000 0.4032418098
95 0.4191887444 0.0000000000 0.4191887444
96 0.4015114807 0.0000000000 0.4015114807
97 0.4621856227 0.0000000000 0.4621856227
98 0.4602478107 0.0000000000 0.4602478107
99 0.4290266103 0.0000000000 0.4290266103
100 0.4578104060 0.0000000000 0.4578104060
101 0.4181820390 0.0000000000 0.4181820390
102 0.3668322898 0.0000000000 0.3668322898
103 0.3840107989 0.0000000000 0.3840107989
104 0.4235588993 0.0000000000 0.4235588993
105 0.4148558661 0.0000000000 0.4148558661
106 0.4338513561 0.0000000000 0.4338513561
107 0.4449420758 0.0000000000 0.4449420758
108 0.4815106641 0.0000000000 0.4815106641
109 0.4668076028 0.0000000000 0.4668076028
110 0.4420951433 0.0000000000 0.4420951433
111 0.4424280703 0.0000000000 0.4424280703
112 0.4961618199 0.0000000000 0.4961618199
113 0.4765530086 0.0000000000 0.4765530086
114 0.4827009015 0.0000000000 0.4827009015
115 0.4815600447 0.0000000000 0.4815600447
116 0.4322388915 0.0000000000 0.4322388915
117 0.4591036002 0.0000000000 0.4591036002
118 0.5291074963 0.0000000000 0.5291074963
119 0.4716489946 0.0000000000 0.4716489946
120 0.4409825642 0.0000000000 0.4409825642
121 0.4293075068 0.0000000000 0.4293075068
122 0.4419466506 0.0000000000 0.4419466506
123 0.4739008295 0.0000000000 0.4739008295
124 0.4831329473 0.0000000000 0.4831329473
125 0.5085545835 0.0000000000 0.5085545835
126 0.5708382658 0.0000000000 0.5708382658
127 0.5530992045 0.0000000000 0.5530992045
128 0.5708915054 0.0000000000 0.5708915054
129 0.5921800347 0.0000000000 0.5921800347
130 0.5692186129 0.0000000000 0.5692186129
131 0.5894031881 0.0000000000 0.5894031881
132 0.5360997443 0.0000000000 0.5360997443
133 0.4946007713 0.0000000000 0.4946007713
134 0.5053162777 0.0000000000 0.5053162777
135 0.4815957803 0.0000000000 0.4815957803
136 0.4462016767 0.0000000000 0.4462016767
137 0.5264528059 0.0000000000 0.5264528059
138 0.5072488260 0.0000000000 0.5072488260
139 0.5243476935 0.0000000000 0.5243476935
140 0.5444837660 0.0000000000 0.5444837660
141 0.5129001246 0.0000000000 0.5129001246
142 0.5082005299 0.0000000000 0.5082005299
143 0.4727381663 0.0000000000 0.4727381663
144 0.4561725235 0.0000000000 0.4561725235
145 0.5064191466 0.0000000000 0.5064191466
146 0.4888702328 0.0000000000 0.4888702328
147 0.5075293750 0.0000000000 0.5075293750
